compound_id	notebook_ref	source	regno	status	comment	mismatch_category	notes	registered_smiles	supplier_smiles
CBK004713	DT9037012	chem_reg	3938108	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		NS(=O)(=O)c1ccc(NC(=O)c2cc3ccccc3o2)cc1	NS(=O)(=O)c1ccc(NC(=O)C2Cc3ccccc3O2)cc1
CBK005606	EE5502872	chem_reg	4004661	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		O=C(Nc1cccnc1)C1CCCS1	O=C(Nc1cccnc1)c1cccs1
CBK011663	DO8197002	chem_reg	4031984	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		NCC1CCC(C(=O)O)CC1	NCc1ccc(C(=O)O)cc1
CBK012009	EH8316902	chem_reg	4043821	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		O=c1ccc2ccccc2o1	O=C1CCc2ccccc2O1
CBK026292	DT9031240	chem_reg	3939335	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		Cc1n[nH]c(SCC(=O)Nc2ccccc2)n1	Cc1n[nH]c(SCC(=O)NC2CCCCC2)n1
CBK027277	DT9063653	chem_reg	3960334	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		COC1CCCCC1N1CCN(C(=O)c2ccco2)CC1	COc1ccccc1N1CCN(C(=O)c2ccco2)CC1
CBK027277	DT9066045	chem_reg	3960735	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		COC1CCCCC1N1CCN(C(=O)c2ccco2)CC1	COc1ccccc1N1CCN(C(=O)C2CCCO2)CC1
CBK028998	EH8331120	chem_reg	4052394	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		O=C(NCC1CCCO1)NC1CCCCC1	O=C(NCC1CCCO1)Nc1ccccc1
CBK034320C	DT9040965	chem_reg	3937063	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		CC1CN(CC(O)COC2CCC(C(C)(C)C)CC2)CC(C)O1	CC1CN(CC(O)COc2ccc(C(C)(C)C)cc2)CC(C)O1
CBK041247	DO8176366	chem_reg	3915406	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		O=C1N=c2ccc(I)cc2=C1Cc1cc(Br)c(O)c(Br)c1	O=C1Nc2ccc(I)cc2C1=Cc1cc(Br)c(O)c(Br)c1
CBK041522	EH8310133	chem_reg	4040094	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		C=Cc1c2[nH]c(c1C)C=c1[nH]c(c(CCC(=O)O)c1C)=Cc1[nH]c(c(C)c1C=CC(=O)O)C=c1[nH]c(c(=C)c1=CC)=C2	C=Cc1c(C)c2[nH]/c1=C\c1[nH]/c(c(=CC)c1C)=C\C1=NC(=Cc3[nH]c(c(C)c3C=CC(=O)O)C=2)C(CCC(=O)O)=C1C
CBK041817	EH8317829	chem_reg	4044747	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		O=C(O)C1CCCNC1	O=C(O)c1cccnc1
CBK043282	EE5518900	chem_reg	4029683	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		O=C(Nc1ccc(Oc2ccccc2)cc1)N1CCN(C(=O)C2CCCO2)CC1	O=C(Nc1ccc(Oc2ccccc2)cc1)N1CCN(C(=O)c2ccco2)CC1
CBK044210	DT9037814	chem_reg	3938910	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		COc1cc(NC(=O)N2CCN(C(=O)C3CCCO3)CC2)cc(OC)c1OC	COc1cc(NC(=O)N2CCN(C(=O)c3ccco3)CC2)cc(OC)c1OC
CBK044657	DT9095774	chem_reg	3997562	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		CCc1ccc(NC(=O)N2CCN(C(=O)C3CCCO3)CC2)cc1	CCc1ccc(NC(=O)N2CCN(C(=O)c3ccco3)CC2)cc1
CBK056888	DT9099669	chem_reg	3993461	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		COc1ccc(S(=O)(=O)NCc2cccnc2)cc1C	COc1ccc(S(=O)(=O)NCC2CCCNC2)cc1C
CBK058709	DT9040830	chem_reg	3936928	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		Cc1ccc(N(CC(=O)NCC2CCCO2)S(C)(=O)=O)cc1	Cc1ccc(N(CC(=O)NCc2ccco2)S(C)(=O)=O)cc1
CBK072998	DT9028682	chem_reg	3937779	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		Cc1cc(NC(=O)c2ccc3c(c2)C(=O)N(CC2CCCO2)C3=O)no1	Cc1cc(NC(=O)c2ccc3c(c2)C(=O)N(Cc2ccco2)C3=O)no1
CBK115354	DO8178916	chem_reg	3914956	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		COc1ccc2c(c1)C(=Cc1c[nH]cn1)C(=O)N2	COc1ccc2c(c1)=C(Cc1c[nH]cn1)C(=O)N=2
CBK117841	EE5553258	chem_reg	4035566	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		O=C(c1ccco1)N1CCN(C2CCCCC2)CC1	O=C(C1CCCO1)N1CCN(c2ccccc2)CC1
CBK149343	EE5563083	chem_reg	4038860	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		C=c1[nH]c(=Cc2c(O)[nH]c3ccc(F)cc23)c(C)c1C(=O)NCCN(CC)CC	C=c1c(C(=O)NCCN(CC)CC)c(C)[nH]c1=Cc1c(O)[nH]c2ccc(F)cc12
CBK149343	EH8314111	chem_reg	4041841	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		C=c1[nH]c(=Cc2c(O)[nH]c3ccc(F)cc23)c(C)c1C(=O)NCCN(CC)CC	C=c1c(C(=O)NCCN(CC)CC)c(C)[nH]c1=Cc1c(O)[nH]c2ccc(F)cc12
CBK201433	DT9045808	chem_reg	3947492	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		O=C(NCC1CCCO1)C1CCN(S(=O)(=O)c2cccc3nsnc23)CC1	O=C(NCc1ccco1)C1CCN(S(=O)(=O)c2cccc3nsnc23)CC1
CBK201492	DT9046608	chem_reg	3948291	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		CCCn1c(CN2CCN(C)CC2)nc2cc(NC(=O)c3ccccc3)ccc21	CCCn1c(CN2CCN(C)CC2)nc2cc(NC(=O)C3CCCCC3)ccc21
CBK201527	DT9046612	chem_reg	3948295	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		CCCn1c(CN2CCN(CC)CC2)nc2cc(NC(=O)c3ccccc3)ccc21	CCCn1c(CN2CCN(CC)CC2)nc2cc(NC(=O)C3CCCCC3)ccc21
CBK201581	DT9046621	chem_reg	3948304	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		CCn1c(CN2CCN(C(C)=O)CC2)nc2cc(NC(=O)c3ccccc3)ccc21	CCn1c(CN2CCN(C(C)=O)CC2)nc2cc(NC(=O)C3CCCCC3)ccc21
CBK201618	DT9046643	chem_reg	3948326	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		CCC(=O)N1CCN(Cc2nc3cc(NC(=O)c4ccccc4)ccc3n2CC)CC1	CCC(=O)N1CCN(Cc2nc3cc(NC(=O)C4CCCCC4)ccc3n2CC)CC1
CBK201636	DT9046655	chem_reg	3948338	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		CCn1c(CN2CCN(S(C)(=O)=O)CC2)nc2cc(NC(=O)c3ccccc3)ccc21	CCn1c(CN2CCN(S(C)(=O)=O)CC2)nc2cc(NC(=O)C3CCCCC3)ccc21
CBK201767	DT9046686	chem_reg	3948369	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		CCCn1c(CN2CCOCC2)nc2cc(NC(=O)c3ccccc3)ccc21	CCCn1c(CN2CCOCC2)nc2cc(NC(=O)C3CCCCC3)ccc21
CBK201793	DT9046696	chem_reg	3948379	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		CC(C)n1c(CN2CCOCC2)nc2cc(NC(=O)c3ccccc3)ccc21	CC(C)n1c(CN2CCOCC2)nc2cc(NC(=O)C3CCCCC3)ccc21
CBK219603	EH8315304	chem_reg	4042880	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		O=c1[nH]c(C(O)O)cs1	O=C1NC(C(=O)O)CS1
CBK222268	EE5552817	chem_reg	4038123	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		OC(c1ccccc1)C1CCCCC1	OC(c1ccccc1)c1ccccc1
CBK222858	DT9076814	chem_reg	3962618	MISMATCH	CONNECTIVITY_DIFF	CONNECTIVITY_DIFF		Cn1ncc(C(=O)NC2CCCCC2)c1-n1cccc1	Cn1ncc(C(=O)Nc2ccccc2)c1-n1cccc1
